Month,Year,daytype,All Bus,Blue Line,Bus,Commuter Rail,Ferry,Green Line,Heavy Rail,Light Rail,Mattapan Line,Orange Line,Private Bus,Red Line,Silver Line,The RIDE,Trackless Trolley
July,2022,Saturday,162101.0,35364.0,142893.0,21585.0,,90605.0,174816.0,92069.0,1464.0,65407.0,1199.0,74045.0,18008.0,1679.0,
July,2022,Sunday,137104.0,28709.0,116941.0,18808.0,,73882.0,134538.0,75206.0,1324.0,47053.0,740.0,58776.0,19423.0,1408.0,
July,2022,Total,216103.0,38968.0,191133.0,50137.0,3518.0,104072.0,232593.0,106834.0,2763.0,84233.0,1682.0,109392.0,23288.0,2660.0,
July,2022,Weekday,260158.0,43021.0,231297.0,67614.0,4117.0,116337.0,275764.0,119852.0,3515.0,99844.0,2122.0,132899.0,26739.0,3352.0,
July,2023,Saturday,173555.0,41586.0,151411.0,33586.0,4769.0,69801.0,189815.0,71384.0,1583.0,70342.0,1465.0,77886.0,20679.0,1816.0,
July,2023,Sunday,141831.0,33565.0,119485.0,25301.0,3335.0,55834.0,150409.0,56926.0,1093.0,54070.0,1081.0,62773.0,21265.0,1518.0,
July,2023,Total,231854.0,45760.0,203247.0,70561.0,5716.0,83184.0,236029.0,85495.0,2311.0,85694.0,1963.0,104575.0,26644.0,2860.0,
July,2023,Weekday,280528.0,50606.0,247309.0,93071.0,6834.0,94480.0,274418.0,97342.0,2862.0,99528.0,2406.0,124284.0,30813.0,3598.0,
July,2024,Saturday,181228.0,42110.0,160470.0,38258.0,5910.0,70062.0,154505.0,71623.0,1562.0,65856.0,,46539.0,20758.0,1874.0,
July,2024,Sunday,135215.0,35698.0,116731.0,27474.0,4845.0,60178.0,128780.0,61207.0,1030.0,53622.0,,39459.0,18484.0,1790.0,
July,2024,Total,255553.0,46695.0,227154.0,87253.0,6598.0,83136.0,224789.0,85640.0,2504.0,90622.0,,87473.0,28399.0,3124.0,
July,2024,Weekday,296852.0,50020.0,264881.0,109430.0,7116.0,90949.0,258169.0,93947.0,2998.0,103476.0,,104672.0,31971.0,3723.0,
June,2019,Saturday,209157.0,45608.0,180396.0,18657.0,,113196.0,287084.0,113196.0,,111335.0,,130140.0,23100.0,3100.0,5662.0
June,2019,Sunday,134048.0,33330.0,115335.0,12619.0,,80305.0,206472.0,80305.0,,77730.0,,95411.0,18713.0,2730.0,
June,2019,Total,316647.0,60600.0,273094.0,82197.0,5570.0,154292.0,434098.0,154292.0,,169356.0,2752.0,204143.0,32891.0,5002.0,7910.0
June,2019,Weekday,390122.0,71165.0,337614.0,119726.0,7081.0,183062.0,527759.0,183062.0,,206767.0,3327.0,249827.0,38281.0,6056.0,10899.0
June,2020,Saturday,112408.0,11680.0,102977.0,1149.0,,12400.0,58802.0,12400.0,,22640.0,,24482.0,9430.0,1373.0,
June,2020,Sunday,74094.0,9197.0,65861.0,965.0,,9451.0,46220.0,9451.0,,17768.0,,19254.0,8233.0,876.0,
June,2020,Total,122802.0,14003.0,111121.0,3980.0,90.0,14757.0,74655.0,14757.0,,29292.0,934.0,31360.0,10747.0,1740.0,
June,2020,Weekday,133308.0,15300.0,120831.0,5044.0,,16150.0,82707.0,16150.0,,32596.0,1034.0,34812.0,11443.0,1738.0,
June,2021,Saturday,140101.0,27465.0,122260.0,8944.0,,53708.0,151398.0,53708.0,,55540.0,950.0,68392.0,14594.0,,2297.0
June,2021,Sunday,94642.0,21836.0,81748.0,7889.0,,39304.0,112238.0,39304.0,,40155.0,586.0,50247.0,12309.0,,
June,2021,Total,183985.0,30647.0,161867.0,22753.0,1694.0,57496.0,177859.0,57496.0,,66515.0,1288.0,80697.0,17551.0,2290.0,3279.0
June,2021,Weekday,208207.0,32827.0,183635.0,27966.0,1777.0,61492.0,194601.0,61492.0,,73303.0,1477.0,88471.0,19042.0,2663.0,4054.0
June,2022,Saturday,164979.0,32992.0,145224.0,22463.0,,75819.0,184139.0,75819.0,,69494.0,1224.0,81653.0,18532.0,1872.0,
June,2022,Sunday,111594.0,25070.0,95064.0,20932.0,,57808.0,137749.0,57808.0,,50616.0,713.0,62063.0,15817.0,1470.0,
June,2022,Total,233369.0,38402.0,207911.0,54324.0,2892.0,90373.0,248441.0,90373.0,,95661.0,1778.0,114378.0,23680.0,2908.0,
June,2022,Weekday,267944.0,41810.0,239826.0,66188.0,3318.0,98940.0,280258.0,98940.0,,108609.0,2072.0,129840.0,26046.0,3357.0,
June,2023,Saturday,162123.0,37264.0,140554.0,34191.0,2058.0,85554.0,183859.0,87092.0,1538.0,65593.0,1373.0,81002.0,20196.0,1788.0,
